genes	BIO	RA	SB505	SU5402	Connectivity	Cols	Rows	Species
ENSDARG00000058765	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058775	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058782	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058818	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058819	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058821	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058822	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058835	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058853	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058871	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058873	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058893	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058917	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058924	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058940	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058949	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058953	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058958	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058964	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058966	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058969	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058984	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058990	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058994	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000058996	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059029	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059046	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059048	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059049	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059053	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059054	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059056	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059058	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059060	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059073	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059079	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059081	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059083	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059090	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059116	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059123	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059139	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059175	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059177	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059202	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059227	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059231	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059233	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059247	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059252	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059259	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059267	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059274	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059276	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059279	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059280	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059294	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059298	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059327	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059333	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059337	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059342	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059348	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059351	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059354	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059363	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059365	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059369	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059406	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059423	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059437	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059455	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059460	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059461	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059483	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059485	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059534	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059557	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059558	1	1	0	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059581	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059587	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059596	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059601	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059629	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059672	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059680	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059693	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059700	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059707	0	1	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059725	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059729	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059738	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059746	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059747	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059751	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059763	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059768	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059770	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059789	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059794	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059801	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059805	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059809	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059811	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059812	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059815	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059816	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059843	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059846	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059858	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059886	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059888	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059897	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059900	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059919	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059923	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059925	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059933	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059948	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059950	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059960	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000059965	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060023	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060029	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060034	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060065	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060068	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060070	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060071	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060094	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060102	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060103	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060106	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060112	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060113	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060115	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060120	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060123	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060126	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060153	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060165	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060168	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060177	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060184	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060192	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060200	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060207	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060215	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060222	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060235	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060246	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060253	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060280	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060297	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060319	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060326	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060340	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060349	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060350	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060366	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060368	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060410	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060415	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060430	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060434	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060435	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060439	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060452	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060457	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060469	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060471	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060477	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060480	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060484	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060496	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060518	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060522	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060526	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060537	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060549	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060551	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060554	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060564	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060566	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060580	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060600	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060601	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060609	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060610	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060622	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060626	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060627	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060633	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060639	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060668	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060679	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060682	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060705	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060711	0	1	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060734	1	1	0	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060751	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060753	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060766	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060771	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060783	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060785	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060796	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060808	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060813	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060829	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060835	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060845	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060847	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060862	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060865	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060868	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060871	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060877	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060879	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060889	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060917	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060921	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060925	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060927	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060929	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060933	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060980	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060987	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060992	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000060994	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061017	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061020	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061039	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061040	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061052	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061057	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061062	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061066	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061070	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061096	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061099	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061100	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061121	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061131	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061140	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061161	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061165	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061169	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061174	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061191	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061194	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061196	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061201	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061205	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061207	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061216	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061221	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061226	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061231	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061233	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061257	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061265	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061268	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061272	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061282	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061303	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061314	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061345	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061352	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061357	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061363	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061365	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061368	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061375	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061377	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061383	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061397	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061409	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061411	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061413	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061416	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061421	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061436	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061451	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061459	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061471	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061478	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061479	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061480	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061490	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061508	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061509	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061515	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061541	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061544	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061547	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061566	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061579	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061580	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061585	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061590	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061591	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000061603	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
