genes	BIO	RA	SB505	SU5402	Connectivity	Cols	Rows	Species
ENSDARG00000002196	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002210	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002215	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002216	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002217	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002230	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002241	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002259	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002293	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002298	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002299	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002333	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002336	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002344	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002347	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002353	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002355	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002362	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002377	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002405	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002406	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002411	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002463	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002479	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002483	0	1	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002506	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002509	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002510	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002533	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002549	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002597	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002601	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002632	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002644	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002656	0	1	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002663	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002682	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002685	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002701	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002710	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002732	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002748	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002758	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002790	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002791	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002795	1	1	0	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002826	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002830	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002831	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002840	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002847	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002877	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002880	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002916	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002933	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002956	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002967	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002986	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000002991	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003008	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003021	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003022	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003032	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003035	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003041	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003046	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003069	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003077	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003081	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003084	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003085	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003098	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003113	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003144	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003165	1	1	1	0	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003167	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003169	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003197	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003200	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003203	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003206	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003207	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003210	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003216	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003229	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003251	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003269	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003290	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003293	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003307	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003308	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003311	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003313	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003344	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003382	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003383	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003411	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003421	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003449	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003469	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003486	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003495	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003520	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003570	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003573	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003576	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003607	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003631	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003632	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003641	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003655	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003681	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003695	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003699	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003701	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003705	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003706	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003750	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003754	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003779	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003789	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003808	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003820	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003841	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003865	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003872	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003900	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003902	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003904	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003910	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003940	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003952	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003963	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000003971	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004015	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004023	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004034	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004046	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004049	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004051	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004060	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004094	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004105	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004132	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004167	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004174	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004176	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004177	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004196	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004204	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004232	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004246	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004251	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004261	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004262	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004270	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004274	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004280	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004282	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004296	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004302	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004307	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004322	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004328	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004343	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004363	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004372	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004377	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004378	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004392	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004402	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004406	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004415	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004433	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004436	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004447	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004451	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004473	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004492	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004537	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004539	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004574	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004586	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004588	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004621	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004635	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004643	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004658	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004687	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004695	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004697	0	1	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004714	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004735	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004745	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004753	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004782	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004830	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004861	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004870	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004874	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004875	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004877	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004906	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004925	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004930	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004932	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004954	1	1	1	1	4	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004979	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000004988	1	0	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005004	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005010	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005023	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005026	1	1	0	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005057	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005058	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005092	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005104	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005122	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005128	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005139	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005150	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005154	0	0	1	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005162	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005163	1	0	1	0	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005172	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005176	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005179	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005210	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005216	0	0	1	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005284	0	0	0	1	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005320	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005343	0	1	0	1	2	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005356	1	0	1	1	3	Zebrafish	RNASeq	Zebrafish RNASeq
ENSDARG00000005359	1	0	0	0	1	Zebrafish	RNASeq	Zebrafish RNASeq
